ticker,name,fiscal_year,end_date,revenue,eps,net_income,type
AAPL,Apple Inc.,2020,2020-09-26,2.75E+11,3.31,"57,411,000,000",ACTUAL
AAPL,Apple Inc.,2021,2021-09-25,3.66E+11,5.67,"94,680,000,000",ACTUAL
AAPL,Apple Inc.,2022,2022-09-24,3.94E+11,6.15,"99,803,000,000",ACTUAL
AAPL,Apple Inc.,2023,2023-09-30,3.83E+11,6.16,"96,995,000,000",ACTUAL
AAPL,Apple Inc.,2024,2024-12-31,4.02E+11,6.11,"93,736,000,000",ACTUAL
AAPL,Apple Inc.,2025,2025-12-31,4.23E+11,7.49,"112,010,000,000",ACTUAL
AMD,AMD Inc.,2020,2020-12-26,9763000000,2.1,"2,490,000,000",ACTUAL
AMD,AMD Inc.,2021,2021-12-25,16434000000,2.61,"3,162,000,000",ACTUAL
AMD,AMD Inc.,2022,2022-12-31,23601000000,0.85,"1,320,000,000",ACTUAL
AMD,AMD Inc.,2023,2023-12-30,22680000000,0.53,"854,000,000",ACTUAL
AMD,AMD Inc.,2024,2024-12-31,23814000000,1.01,"1,641 000000",PROJECTED
AMD,AMD Inc.,2025,2025-12-31,25004700000,2.67,"4,335,000,000",PROJECTED
INTC,Intel Corp.,2020,2020-12-26,77867000000,4.98,"20,899,000,000",ACTUAL
INTC,Intel Corp.,2021,2021-12-25,79024000000,4.89,"19,868,000,000",ACTUAL
INTC,Intel Corp.,2022,2022-12-31,63054000000,1.95,"8,014,000,000",ACTUAL
INTC,Intel Corp.,2023,2023-12-30,54228000000,0.4,"1,689,000,000",ACTUAL
INTC,Intel Corp.,2024,2024-12-31,56939400000,4.38,"-267,000,000",PROJECTED
INTC,Intel Corp.,2025,2025-12-31,59786370000,0.06,"-18,756,000,000",PROJECTED
LOGI,Logitech,2020,2020-03-31,2975851000,2.7,,ACTUAL
LOGI,Logitech,2021,2021-03-31,5252279000,5.62,"947,257,000",ACTUAL
LOGI,Logitech,2022,2022-03-31,5481101000,3.85,"644,513,000",ACTUAL
LOGI,Logitech,2023,2023-03-31,4538818000,2.25,"364,575,000",ACTUAL
LOGI,Logitech,2024,2024-12-31,4765758900,3.9,"612,143,000",PROJECTED
LOGI,Logitech,2025,2025-12-31,5004046845,4.17,"631,529,000",PROJECTED
MSFT,Microsoft Corp.,2020,2020-06-30,1.43E+11,5.82,"44,281,000,000",ACTUAL
MSFT,Microsoft Corp.,2021,2021-06-30,1.68E+11,8.12,"61,271,000,000",ACTUAL
MSFT,Microsoft Corp.,2022,2022-06-30,1.98E+11,9.7,"72,738,000,000",ACTUAL
MSFT,Microsoft Corp.,2023,2023-06-30,2.12E+11,9.72,"72,361,000,000",ACTUAL
MSFT,Microsoft Corp.,2024,2024-12-31,2.23E+11,11.86,"88,136,000,000",PROJECTED
MSFT,Microsoft Corp.,2025,2025-12-31,2.34E+11,13.7,"101,832,000,000",PROJECTED
NVDA,NVIDIA Corp.,2020,2020-01-26,10918000000,1.15,"2,796,000,000",ACTUAL
NVDA,NVIDIA Corp.,2021,2021-01-31,16675000000,1.76,"4,332,000,000",ACTUAL
NVDA,NVIDIA Corp.,2022,2022-01-30,26914000000,3.91,"9,752,000,000",ACTUAL
NVDA,NVIDIA Corp.,2023,2023-01-29,26974000000,0.18,"4,368,000,000",ACTUAL
NVDA,NVIDIA Corp.,2024,2024-01-28,60922000000,1.21,"29,760,000,000",ACTUAL
NVDA,NVIDIA Corp.,2025,2025-12-31,63968100000,,,PROJECTED
SONY,Sony Group,2020,2020-12-31,25424000000,12.4,"7,264,000,000",ACTUAL
SONY,Sony Group,2021,2021-12-31,25979000000,10.34,"5,893,000,000",ACTUAL
SONY,Sony Group,2022,2022-12-31,26323000000,12.18,"6,552,000,000",ACTUAL
SONY,Sony Group,2023,2023-12-31,28190000000,12.56,"6,717,000,000",ACTUAL
SONY,Sony Group,2024,2024-12-31,29599500000,,"980,494,000,000",PROJECTED
SONY,Sony Group,2025,2025-12-31,31079475000,,"1,159,887,000,000",PROJECTED
SSNLF,Samsung Electronics,2020,2020-12-31,2.37E+11,3.36,"26,407,000,000",ACTUAL
SSNLF,Samsung Electronics,2021,2021-12-31,2.80E+11,5.05,"39,907,000,000",ACTUAL
SSNLF,Samsung Electronics,2022,2022-12-31,2.44E+11,6.17,"22,943,000,000",ACTUAL
SSNLF,Samsung Electronics,2023,2023-12-31,2.02E+11,1.63,"11,082,000,000",ACTUAL
SSNLF,Samsung Electronics,2024,2024-12-31,2.12E+11,3.48,"211,599,996,000",PROJECTED
SSNLF,Samsung Electronics,2025,2025-12-31,2.23E+11,4.65,"234,622,273 ,000",PROJECTED
