date,keyword,counts
4/18/21,Apple,59
4/18/21,Logitech,2
4/18/21,NVIDIA,2
4/18/21,OLED monitor,0
4/18/21,Samsung,24
4/18/21,laptop,33
4/18/21,mechanical keyboard,1
4/18/21,noise cancelling headphones,1
4/18/21,smartphone,1
4/18/21,smartwatch,2
4/25/21,Apple,58
4/25/21,Logitech,2
4/25/21,NVIDIA,2
4/25/21,OLED monitor,0
4/25/21,Samsung,24
4/25/21,laptop,34
4/25/21,mechanical keyboard,1
4/25/21,noise cancelling headphones,1
4/25/21,smartphone,1
4/25/21,smartwatch,2
5/2/21,Apple,56
5/2/21,Logitech,2
5/2/21,NVIDIA,2
5/2/21,OLED monitor,0
5/2/21,Samsung,25
5/2/21,laptop,34
5/2/21,mechanical keyboard,1
5/2/21,noise cancelling headphones,1
5/2/21,smartphone,1
5/2/21,smartwatch,2
5/9/21,Apple,53
5/9/21,Logitech,2
5/9/21,NVIDIA,2
5/9/21,OLED monitor,0
5/9/21,Samsung,23
5/9/21,laptop,35
5/9/21,mechanical keyboard,1
5/9/21,noise cancelling headphones,1
5/9/21,smartphone,1
5/9/21,smartwatch,2
5/16/21,Apple,54
5/16/21,Logitech,2
5/16/21,NVIDIA,2
5/16/21,OLED monitor,0
5/16/21,Samsung,24
5/16/21,laptop,33
5/16/21,mechanical keyboard,1
5/16/21,noise cancelling headphones,1
5/16/21,smartphone,1
5/16/21,smartwatch,2
5/23/21,Apple,52
5/23/21,Logitech,2
5/23/21,NVIDIA,2
5/23/21,OLED monitor,0
5/23/21,Samsung,24
5/23/21,laptop,34
5/23/21,mechanical keyboard,1
5/23/21,noise cancelling headphones,1
5/23/21,smartphone,1
5/23/21,smartwatch,2
5/30/21,Apple,55
5/30/21,Logitech,2
5/30/21,NVIDIA,3
5/30/21,OLED monitor,0
5/30/21,Samsung,35
5/30/21,laptop,33
5/30/21,mechanical keyboard,1
5/30/21,noise cancelling headphones,1
5/30/21,smartphone,1
5/30/21,smartwatch,2
6/6/21,Apple,59
6/6/21,Logitech,2
6/6/21,NVIDIA,2
6/6/21,OLED monitor,0
6/6/21,Samsung,27
6/6/21,laptop,32
6/6/21,mechanical keyboard,1
6/6/21,noise cancelling headphones,1
6/6/21,smartphone,1
